inventoryId,source,tag,label,command,tooltip,initialWebStatus,hostApiNeeded,webTarget,notes
"xaml:MainWindow.xaml:1580:491","MainWindow.xaml:1580","Button","&#xE151;","{Binding MarkConversationReadCommand}","Mark read","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1585:492","MainWindow.xaml:1585","Button","&#xF18A;","{Binding MarkConversationUnreadCommand}","Mark unread","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1590:493","MainWindow.xaml:1590","Button","&#xE7FE;","{Binding SaveAsContactCommand}","Add contact","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1596:494","MainWindow.xaml:1596","Button","&#xE3C9;","{Binding EditContactCommand}","Edit contact","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1602:495","MainWindow.xaml:1602","Button","&#xE0B0;","","Call","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1693:511","MainWindow.xaml:1693","Button","&#xE316;","{Binding ConversationSearchPreviousCommand}","Previous match","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1697:512","MainWindow.xaml:1697","Button","&#xE313;","{Binding ConversationSearchNextCommand}","Next match","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1701:513","MainWindow.xaml:1701","Button","&#xE5CD;","{Binding ClearConversationSearchCommand}","Clear search","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1738:520","MainWindow.xaml:1738","Button","&#xE14B;","{Binding ToggleConversationBlockedCommand}","{Binding SelectedConversationBlockTooltip}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1742:521","MainWindow.xaml:1742","Button","&#xF10D;","{Binding ToggleConversationPinnedCommand}","{Binding SelectedConversationPinTooltip}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1746:522","MainWindow.xaml:1746","Button","&#xE7F6;","{Binding ToggleConversationAlertsMutedCommand}","{Binding SelectedConversationAlertsTooltip}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1750:523","MainWindow.xaml:1750","Button","&#xE151;","{Binding MarkConversationReadCommand}","Mark read","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1755:524","MainWindow.xaml:1755","Button","&#xF18A;","{Binding MarkConversationUnreadCommand}","Mark unread","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1760:525","MainWindow.xaml:1760","Button","&#xE7FE;","{Binding SaveAsContactCommand}","Add contact","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1766:526","MainWindow.xaml:1766","Button","&#xE3C9;","{Binding EditContactCommand}","Edit contact","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1772:527","MainWindow.xaml:1772","Button","&#xE0B0;","","Call","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1831:540","MainWindow.xaml:1831","Button","Show threads","{Binding OpenMessagesListPaneCommand}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1897:551","MainWindow.xaml:1897","MenuItem","Copy","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1898:552","MainWindow.xaml:1898","MenuItem","Forward…","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1899:553","MainWindow.xaml:1899","MenuItem","Call","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1900:554","MainWindow.xaml:1900","MenuItem","{Binding PinActionLabel}","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1902:556","MainWindow.xaml:1902","MenuItem","Delete","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:1985:576","MainWindow.xaml:1985","Button","Save","{Binding DataContext.SaveAttachmentCommand, RelativeSource={RelativeSource AncestorType=Window}}","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2036:585","MainWindow.xaml:2036","Button","&#xF08A;","","Copy","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2040:586","MainWindow.xaml:2040","Button","&#xE154;","","Forward","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2044:587","MainWindow.xaml:2044","Button","&#xE0B0;","","Call","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2048:588","MainWindow.xaml:2048","Button","&#xE872;","","Delete","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2052:589","MainWindow.xaml:2052","Button","&#xF10D;","","{Binding PinActionLabel}","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2070:591","MainWindow.xaml:2070","MenuItem","Copy","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2071:592","MainWindow.xaml:2071","MenuItem","Forward…","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2072:593","MainWindow.xaml:2072","MenuItem","Call","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2073:594","MainWindow.xaml:2073","MenuItem","{Binding PinActionLabel}","","","not-yet-reviewed","","",""
"xaml:MainWindow.xaml:2075:596","MainWindow.xaml:2075","MenuItem","Delete","","","not-yet-reviewed","","",""
